y,udnew,OI,net,opmcl,short
0 ,-126.00 ,46049.00 ,-4914.00 ,-41.00 ,31705.00 
1 ,111.00 ,48197.00 ,-576.00 ,17.00 ,37205.00 
1 ,123.00 ,48191.00 ,1126.00 ,49.00 ,37142.00 
0 ,-34.00 ,48153.00 ,994.00 ,8.00 ,42900.00 
1 ,-15.00 ,47235.00 ,2834.00 ,-24.00 ,40240.00 
1 ,-26.00 ,47055.00 ,1201.00 ,1.00 ,36833.00 
0 ,-39.00 ,48077.00 ,891.00 ,-17.00 ,42085.00 
1 ,87.00 ,50210.00 ,6306.00 ,27.00 ,42237.00 
0 ,-79.00 ,48542.00 ,-2026.00 ,-8.00 ,47557.00 
0 ,49.00 ,50978.00 ,-5497.00 ,0.00 ,40376.00 
0 ,28.00 ,48271.00 ,-6137.00 ,54.00 ,42466.00 
0 ,-2.00 ,49637.00 ,-2512.00 ,11.00 ,40324.00 
0 ,-187.00 ,52758.00 ,-12602.00 ,-40.00 ,34287.00 
0 ,-116.00 ,53677.00 ,-13801.00 ,-79.00 ,39546.00 
0 ,1.00 ,50934.00 ,-15842.00 ,28.00 ,38686.00 
0 ,3.00 ,51053.00 ,-16289.00 ,3.00 ,42366.00 
1 ,70.00 ,50140.00 ,-14188.00 ,24.00 ,38321.00 
1 ,101.00 ,49029.00 ,-11658.00 ,36.00 ,37727.00 
0 ,-108.00 ,48429.00 ,-16946.00 ,8.00 ,39565.00 
0 ,-118.00 ,47618.00 ,-16426.00 ,-84.00 ,36133.00 
1 ,19.00 ,45023.00 ,-12818.00 ,-50.00 ,35023.00 
1 ,-64.00 ,38994.00 ,-15954.00 ,-36.00 ,36563.00 
1 ,-186.00 ,30325.00 ,-18369.00 ,-36.00 ,45686.00 
1 ,-46.00 ,18333.00 ,-11940.00 ,-106.00 ,33930.00 
1 ,5.00 ,44245.00 ,-8482.00 ,-53.00 ,34265.00 
0 ,18.00 ,45766.00 ,-8915.00 ,34.00 ,41742.00 
0 ,-124.00 ,49955.00 ,-7870.00 ,-21.00 ,42000.00 
1 ,42.00 ,50485.00 ,-3754.00 ,-57.00 ,40490.00 
1 ,121.00 ,50497.00 ,986.00 ,21.00 ,46345.00 
1 ,70.00 ,46458.00 ,-7.00 ,4.00 ,46718.00 
1 ,66.00 ,48197.00 ,2725.00 ,-8.00 ,47991.00 
1 ,10.00 ,47121.00 ,-462.00 ,20.00 ,45976.00 
1 ,39.00 ,47784.00 ,-784.00 ,-24.00 ,36885.00 
1 ,58.00 ,48477.00 ,709.00 ,20.00 ,40745.00 
1 ,21.00 ,49600.00 ,3186.00 ,0.00 ,39654.00 
0 ,49.00 ,50337.00 ,3547.00 ,10.00 ,37719.00 
0 ,40.00 ,50030.00 ,5862.00 ,30.00 ,41240.00 
0 ,17.00 ,50341.00 ,3589.00 ,29.00 ,38774.00 
1 ,11.00 ,48987.00 ,4412.00 ,0.00 ,38492.00 
0 ,-15.00 ,49372.00 ,2095.00 ,5.00 ,44030.00 
0 ,67.00 ,49146.00 ,3598.00 ,31.00 ,52432.00 
1 ,55.00 ,39322.00 ,6506.00 ,52.00 ,43278.00 
1 ,8.00 ,29894.00 ,4908.00 ,-30.00 ,29049.00 
0 ,-55.00 ,15817.00 ,1526.00 ,15.00 ,27583.00 
1 ,13.00 ,44613.00 ,4778.00 ,-53.00 ,25671.00 
0 ,-7.00 ,46239.00 ,4448.00 ,-6.00 ,24637.00 
0 ,-47.00 ,46316.00 ,1026.00 ,-17.00 ,26280.00 
0 ,-43.00 ,49259.00 ,1093.00 ,-13.00 ,25953.00 
1 ,-67.00 ,49232.00 ,2309.00 ,9.00 ,21397.00 
1 ,-29.00 ,49841.00 ,3958.00 ,-68.00 ,26519.00 
1 ,64.00 ,49841.00 ,2548.00 ,32.00 ,25583.00 
0 ,23.00 ,52455.00 ,6086.00 ,36.00 ,27088.00 
1 ,198.00 ,55679.00 ,10572.00 ,13.00 ,28000.00 
1 ,-10.00 ,54786.00 ,5646.00 ,-20.00 ,27459.00 
0 ,-64.00 ,51571.00 ,2111.00 ,1.00 ,26683.00 
